feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.821..superpathway.of.sulfur.amino.acid.biosynthesis..Saccharomyces.cerevisiae.	spike_inhibition	yes	0.620495207	0.222382469	22	19	0.005267283	0.085133987
P23.PWY..reductive.TCA.cycle.I	status	uninfected	-3.378222133	1.217519545	22	15	0.005525674	0.088283764
PWY.6807..xyloglucan.degradation.II..exoglucanase.	spike_inhibition	yes	-5.856164933	2.118929811	22	8	0.005714356	0.09026085
AST.PWY..L.arginine.degradation.II..AST.pathway.	spike_inhibition	yes	3.885717432	1.409863717	22	14	0.005849612	0.090709072
GOLPDLCAT.PWY..superpathway.of.glycerol.degradation.to.1.3.propanediol	spike_inhibition	yes	0.166733398	0.060525231	22	22	0.005873249	0.090709072
PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II	spike_inhibition	yes	5.446090321	1.982622951	22	9	0.006015932	0.091891702
PWY.7185..UTP.and.CTP.dephosphorylation.I	stay_years	stay_years	1.158877554	0.423177968	22	19	0.006171808	0.09324797
PWY.5690..TCA.cycle.II..plants.and.fungi.	spike_inhibition	yes	-0.329751999	0.120700954	22	22	0.00629559	0.094095382
PWY.5918..superpathway.of.heme.b.biosynthesis.from.glutamate	spike_inhibition	yes	0.549293701	0.201741875	22	21	0.006474005	0.095732624
ECASYN.PWY..enterobacterial.common.antigen.biosynthesis	spike_inhibition	yes	4.551196173	1.67390854	22	13	0.006549867	0.095834894
PWY3O.4107..NAD.salvage.pathway.V..PNC.V.cycle.	stay_years	stay_years	0.697801065	0.25727709	22	21	0.006682717	0.096760172
PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type	stay_years	stay_years	0.209170293	0.077290038	22	22	0.006803685	0.09749611
PWY.7992..superpathway.of.menaquinol.8.biosynthesis.III	status	uninfected	-1.965243478	0.73001515	22	18	0.007101249	0.100721799
METHGLYUT.PWY..superpathway.of.methylglyoxal.degradation	spike_inhibition	yes	0.253096106	0.094425841	22	22	0.007354102	0.101209919
P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.	spike_inhibition	yes	0.62664815	0.233722487	22	22	0.007336671	0.101209919
PWY.6936..seleno.amino.acid.biosynthesis..plants.	stay_years	stay_years	0.073304069	0.027332063	22	22	0.007318766	0.101209919
PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis	spike_inhibition	yes	0.429083278	0.162086454	22	22	0.008114947	0.110586037
PWY.7117..C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type	stay_years	stay_years	0.203851896	0.077277003	22	22	0.008341198	0.112565683
HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I	antibiotics	yes	1.920136099	0.729599402	22	19	0.008494193	0.113528161
PWY.5675..nitrate.reduction.V..assimilatory.	antibiotics	yes	2.203997085	0.838751807	22	16	0.008596159	0.113701829
PWY.6293..superpathway.of.L.cysteine.biosynthesis..fungi.	spike_inhibition	yes	1.805110208	0.687721652	22	16	0.008670787	0.113701829
DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	spike_inhibition	yes	3.751972001	1.437102517	22	9	0.009033351	0.114746728
GALACTITOLCAT.PWY..galactitol.degradation	spike_inhibition	yes	0.997950222	0.383409686	22	21	0.009245779	0.114746728
PWY.5138..fatty.acid..beta..oxidation.IV..unsaturated..even.number.	spike_inhibition	yes	1.509599477	0.579280481	22	17	0.009160898	0.114746728
PWY.5676..acetyl.CoA.fermentation.to.butanoate.II	spike_inhibition	yes	0.171169868	0.065613162	22	22	0.00908674	0.114746728
PWY.5845..superpathway.of.menaquinol.9.biosynthesis	spike_inhibition	yes	0.354681577	0.13604298	22	22	0.0091305	0.114746728
PWY.6572..chondroitin.sulfate.degradation.I..bacterial.	spike_inhibition	yes	-3.019374378	1.159456869	22	10	0.009210828	0.114746728
PWY.7315..dTDP.N.acetylthomosamine.biosynthesis	spike_inhibition	yes	0.456031353	0.175811376	22	22	0.009490315	0.116739273
MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis	spike_inhibition	yes	1.020310215	0.39509722	22	19	0.009810776	0.118738908
METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis	spike_inhibition	yes	1.071216302	0.415363735	22	19	0.009909146	0.118738908
PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.	spike_inhibition	yes	1.020537155	0.395264847	22	19	0.0098256	0.118738908
PWY.5913..partial.TCA.cycle..obligate.autotrophs.	antibiotics	yes	0.495131564	0.192651357	22	22	0.010167174	0.120789499
PWY.4984..urea.cycle	spike_inhibition	yes	-0.211740953	0.082625981	22	22	0.010387858	0.120936103
PWY.5677..succinate.fermentation.to.butanoate	stay_years	stay_years	-1.08685874	0.424923675	22	20	0.010534452	0.120936103
PWY.5747..2.methylcitrate.cycle.II	antibiotics	yes	4.032192479	1.5763968	22	13	0.010532037	0.120936103
PWY.5913..partial.TCA.cycle..obligate.autotrophs.	spike_inhibition	yes	0.209181814	0.081782971	22	22	0.010534654	0.120936103
PWY.5973..cis.vaccenate.biosynthesis	status	uninfected	0.154425312	0.060437144	22	22	0.010614536	0.120936103
PWY.7874..L.threonate.degradation	stay_years	stay_years	1.797617631	0.707771989	22	8	0.011090766	0.125334674
ORNDEG.PWY..superpathway.of.ornithine.degradation	spike_inhibition	yes	0.972911117	0.383729354	22	18	0.011231589	0.125902489
PWY.6293..superpathway.of.L.cysteine.biosynthesis..fungi.	status	uninfected	-2.754677176	1.088282657	22	16	0.011366821	0.126399053
P124.PWY..Bifidobacterium.shunt	age	age	-1.926043674	0.762474262	22	17	0.011535497	0.126966204
PWY.5104..L.isoleucine.biosynthesis.IV	spike_inhibition	yes	1.695286141	0.671648046	22	14	0.011600509	0.126966204
DAPLYSINESYN.PWY..L.lysine.biosynthesis.I	spike_inhibition	yes	0.215155257	0.085390558	22	22	0.011746792	0.127562817
PWY.7013...S..propane.1.2.diol.degradation	spike_inhibition	yes	0.20991961	0.083521853	22	22	0.011959078	0.128032694
TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA	spike_inhibition	yes	1.256155397	0.499882492	22	15	0.011974281	0.128032694
PWY.7942..5.oxo.L.proline.metabolism	spike_inhibition	yes	1.594040143	0.635548934	22	17	0.012137157	0.128783579
PWY.5030..L.histidine.degradation.III	status	uninfected	0.254094468	0.101547341	22	22	0.012341487	0.128982455
PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP	age	age	-0.539822915	0.215548299	22	19	0.012265323	0.128982455
PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis	status	uninfected	-1.601875744	0.642664348	22	9	0.012682796	0.131136065
PWY.5837..2.carboxy.1.4.naphthoquinol.biosynthesis	spike_inhibition	yes	0.621692244	0.249832373	22	22	0.012830579	0.131136065
PWY.5918..superpathway.of.heme.b.biosynthesis.from.glutamate	status	uninfected	-0.891792786	0.358006074	22	21	0.012738446	0.131136065
PWY.6953..dTDP.3.acetamido..alpha..D.fucose.biosynthesis	stay_years	stay_years	-1.285849432	0.518525979	22	18	0.01314499	0.133368878
FAO.PWY..fatty.acid..beta..oxidation.I..generic.	spike_inhibition	yes	1.445186016	0.584649197	22	17	0.013440246	0.134960435
GALACTARDEG.PWY..D.galactarate.degradation.I	spike_inhibition	yes	0.45676036	0.186034044	22	22	0.014078607	0.134960435
GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation	spike_inhibition	yes	0.45676036	0.186034044	22	22	0.014078607	0.134960435
PWY.5747..2.methylcitrate.cycle.II	status	uninfected	-3.629953304	1.471211057	22	13	0.013612739	0.134960435
PWY.6583..pyruvate.fermentation.to.butanol.I	age	age	0.07598544	0.030834832	22	1	0.013729156	0.134960435
PWY.7269..mitochondrial.NADPH.production..yeast.	spike_inhibition	yes	4.091649873	1.665583613	22	13	0.014026411	0.134960435
PYRIDNUCSAL.PWY..NAD.salvage.pathway.I..PNC.VI.cycle.	age	age	-0.32528025	0.131911872	22	21	0.013667305	0.134960435
PYRIDNUCSAL.PWY..NAD.salvage.pathway.I..PNC.VI.cycle.	status	uninfected	-0.9015804	0.366598975	22	21	0.013920449	0.134960435
PWY.7254..TCA.cycle.VII..acetate.producers.	spike_inhibition	yes	1.20368717	0.49209357	22	16	0.014442959	0.136569477
PWY.7883..anhydromuropeptides.recycling.II	stay_years	stay_years	1.344578862	0.549355877	22	19	0.014382907	0.136569477
PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type	status	uninfected	-0.345760412	0.141862946	22	22	0.014798016	0.138160432
PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP	antibiotics	yes	1.520221565	0.623810627	22	19	0.014810003	0.138160432
P23.PWY..reductive.TCA.cycle.I	antibiotics	yes	3.085136635	1.268837312	22	15	0.015037799	0.138411688
PWY.5747..2.methylcitrate.cycle.II	stay_years	stay_years	1.507422752	0.620564198	22	13	0.015135667	0.138411688
PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP	status	uninfected	-1.302360482	0.535764478	22	19	0.015063651	0.138411688
P23.PWY..reductive.TCA.cycle.I	age	age	-1.103518416	0.455680838	22	15	0.015448459	0.138764154
PWY.7031..protein.N.glycosylation..bacterial.	age	age	2.085423042	0.859681381	22	11	0.015274296	0.138764154
PWY.7185..UTP.and.CTP.dephosphorylation.I	age	age	-0.654850476	0.270476638	22	19	0.015473701	0.138764154
CITRULBIO.PWY..L.citrulline.biosynthesis	status	uninfected	0.301524018	0.124680276	22	22	0.015589879	0.138909817
PWY.4984..urea.cycle	antibiotics	yes	-0.466918634	0.193740295	22	22	0.0159515	0.141226652
PWY.7688..dTDP..alpha..D.ravidosamine.and.dTDP.4.acetyl..alpha..D.ravidosamine.biosynthesis	stay_years	stay_years	-1.227011272	0.511911474	22	20	0.016533496	0.145452906
PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type	age	age	-0.115944275	0.048421105	22	22	0.0166431	0.145496283
GLYOXYLATE.BYPASS..glyoxylate.cycle	status	uninfected	-1.6960734	0.711164005	22	17	0.017082565	0.146572629
PWY.6863..pyruvate.fermentation.to.hexanol..engineered.	age	age	0.05762726	0.024146347	22	1	0.017005771	0.146572629
PWY.7805...aminomethyl.phosphonate.degradation	spike_inhibition	yes	6.507426355	2.725895719	22	12	0.016974405	0.146572629
P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate	spike_inhibition	yes	0.25928666	0.10917354	22	22	0.017549167	0.147038159
PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate.	spike_inhibition	yes	0.051755298	0.021813597	22	22	0.017662596	0.147038159
PWY.5189..tetrapyrrole.biosynthesis.II..from.glycine.	spike_inhibition	yes	0.631956793	0.266593839	22	21	0.017764747	0.147038159
PWY.5656..mannosylglycerate.biosynthesis.I	spike_inhibition	yes	1.263357034	0.531969011	22	16	0.017555151	0.147038159
PWY.6749..CMP.legionaminate.biosynthesis.I	stay_years	stay_years	-1.916698884	0.809052449	22	19	0.017833057	0.147038159
PWY.801..homocysteine.and.cysteine.interconversion	status	uninfected	-3.278371758	1.384360023	22	16	0.017877301	0.147038159
