species	01_A	01_B	01_C	02_A	02_B	02_C	03_A	03_B	03_C	04_A	04_B	04_C	05_A	05_B	06_A	07_A	07_B	08_A	08_B	09_A	10_A	10_B
Blautia_producta	0.0404626192506461	0.0954240608377795	0.1255363353524435	0.0144498015724109	0.0041096635281766	0.0094531810169846	0.3917657279555802	0.3780491397618326	1.5474113671938707	0.4795781388887689	0.3843135767460982	1.090661422008808	0.0279845165364688	0.0451492063505143	0.0571068438417625	0.1279685543912396	0.1963013086377363	2.384851816870817	1.4854310031572544	1.6576922499197642	0.0418149797114758	0.0402617689586726
Escherichia_coli	0.0402100961431946	0.0042997402907141	0.1644107625284434	8.872732999243583	12.394884650641355	9.972251819290806	0.3705816250373032	0.0170077988886274	0.515985978312956	0.0587126945493411	0.0049846230179592	0.0492162933776826	0.0002666038412493	0.0003622539061391	0.7720935988563283	0.0107872583280507	0.0	0.0	0.0	0.0	0.0693298875032554	0.0421559407894288
Clostridiales_bacterium	0.0399575730357431	0.0708828530966272	0.0069727972095989	0.0058860627440204	0.0550333984242255	0.0946467923889926	0.5136400272509283	1.042012928031382	0.9375458719187542	0.1349144586188368	0.27934479425947	0.2882508032909007	0.0	0.0	0.151845946568254	0.0792990344569765	0.3113554095924541	0.0	0.0	0.0	0.3679200640494856	0.3705951433896391
GGB9110_SGB14043	0.0363885797837618	0.0172576320830028	0.0267738089128822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bariatricus_massiliensis	0.0352858955478903	0.0862378710548891	0.0476402293823528	0.1128162025937261	0.0294074725519226	0.0445720359506302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011397744851695	0.0	0.0	0.0	0.0	0.0	0.0080936567803201	0.3383682516760329	0.3624578491570634
Bianquea_renquensis	0.0345451610993658	0.0383540186555712	0.0189088401348502	0.0	0.0	0.0	0.0835974814086845	0.1208195524824191	0.0003470271396808	0.0	0.0	0.0730894813635895	0.0024705289289102	0.0	0.0	0.0068240563632437	0.0030115075305082	0.0	0.0	0.0012418838445993	0.0	0.0
Limosilactobacillus_oris	0.0307573144875933	0.0435002965083948	0.0286101232090747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_oris	0.0301428415927946	0.0431901787876221	0.0546563358913902	0.0059101859519877	0.000762871672895	0.0028170643690927	0.0	0.0	0.0	0.0025545831883371	0.0026338713709354	0.0110762599818713	0.0	0.0	0.0	0.016955155425598	0.0116378438603676	0.0	0.0	0.0	0.0	0.0012401304362797
Sellimonas_intestinalis	0.0296630476886368	0.0245495893011731	0.0613086442851442	0.008370753164652	0.0056518127163946	0.0072192407592784	0.1136652403894648	0.0585556765720091	0.0299571178329489	0.0478108612773738	0.0460713005274371	0.1937178209475759	0.0471888799011272	0.0299433777537951	0.0686363562972924	0.3486217922596647	0.6355097261895681	1.4918677186533011	0.7807147379636833	8.067208936788228	0.2303705689993783	0.3926796580083203
Clostridium_symbiosum	0.0291916712213939	0.0140139683549202	0.0067822362920695	0.0182049809459868	0.0085474439049102	0.0137896532819436	0.0324682735381036	0.0356290210470879	0.0093263543789227	0.0093895883745235	0.0	0.0050495986178086	0.0122460031080514	0.0153913732803514	0.0224659788846029	0.0691679353946223	0.050596954834864	0.0890731985098052	0.0780974947297522	0.0	0.0	0.0217022826348963
Coprobacillus_cateniformis	0.0268263714482648	0.4867088088527903	4.44207026806934	0.0	0.0	0.0	0.3628456602412575	0.049436715218201	0.0380602015444966	0.0	0.0	0.0	0.0025416232865767	0.001767092225069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB3818_SGB5183	0.0264307519132575	0.0230073822573302	0.0395240666675774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0158285561467977	0.0	0.0	0.0	0.0	0.0
Extibacter_muris	0.025513251289517	0.031866691199406	0.2462826621869886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010586036153237	0.0376982689662415	0.0	0.0	0.0	0.0	0.0
Turicibacter_bilis	0.0248146040255679	0.0268377551868748	0.0561548376519624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002014651503338	0.0	0.0	0.0	0.0033070426991104	0.0	0.0	0.0	0.0	0.0	0.0
Wansuia_hejianensis	0.0236109105467157	0.0193362589681824	0.1023398745731815	0.009448256453858	0.0053975221587629	0.0161221497274898	0.0333794177496424	0.0349069918489857	0.0297662529061244	0.0313641300481128	0.0251204409579769	0.0653421519773626	0.0328989140101643	0.0245184046228331	0.0546561683500803	0.0434114970184816	0.0348409651345845	0.0	0.0	0.0451446189302299	0.0347609454019934	0.0419096135109896
Turicibacter_sanguinis	0.0231732038271331	0.1194120856175533	0.0127675814744705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4890661214893474	0.3211609506782354	0.0	0.0	0.0	0.0	0.0
Lawsonibacter_asaccharolyticus	0.0213466200165672	0.0186405894864489	0.0075618036819625	0.0561829513558349	0.1403519819702638	0.1314575285472246	0.0683358158654097	0.208327708504251	0.3796563664893361	0.0972535800429497	0.170300803625629	0.0284472250900519	0.165098872090987	0.1569354605083828	0.0238788238299856	0.0955455378756223	0.0542797019956662	0.0243058246100603	0.1415365303198687	0.0334452166424868	0.041906807377043	0.057801969992356
Terrisporobacter_mayombei	0.0190234074280133	0.0576316067036075	0.1259434427671654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Roseburia_intestinalis	0.0187372145729016	0.0065459983763114	0.0023387021696791	0.0161303850607993	0.0657300076871843	0.5302979947043107	0.0409314015029736	0.0380446989814789	0.0567736400517861	0.0103123140746587	0.0500349766621999	0.0087849181433108	0.0051543409308199	0.0024297518094699	0.0344402758599756	0.0248203178237469	0.0937467780957906	0.0	0.0	0.0	0.0069955985223032	0.0144823451634044
Streptococcus_thermophilus	0.0177271221430956	0.0297964458742473	0.0262974066190587	1.0870962849075996	0.0	0.2111648454628071	0.0231290453698309	0.0796728021313164	0.0791308635257246	0.020188896568698	0.0029427292515662	0.022256278839451	0.0	0.0	0.0	0.0061766458877565	0.0157650605060942	0.8684148188651788	0.0	0.0	0.0	0.0
GGB9092_SGB14021	0.0170789795006367	0.0722993367401568	0.032248104361909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eisenbergiella_tayi	0.0156311803512481	0.3826098333933945	0.1442286289901012	0.0142568159086725	0.010770435553884	0.0130833339357571	0.1923565606590943	0.0530290333272769	0.0473258261739752	0.0260584572723356	0.0061599988414711	0.0137221113124354	0.0160317776537916	0.0188637095026121	0.1466131875112813	0.0612415314650083	0.0633595786162648	0.0096458429833631	0.0639594542577958	2.596530742288388	0.0491111051392717	0.035267271037217
GGB58233_SGB79883	0.0133332200734394	0.0168636987620212	0.018363142961925	0.0011096675664956	5.742044849747788e-05	0.0012976564732263	0.0002978740691569	0.000374385510127	0.0	0.0011875821510998	0.0003174372662039	0.0066578611912887	0.0067273035941908	0.008702929208465	0.0225967978610273	0.0068153075730345	0.0057327492749433	0.0016742123944691	0.0028015871610073	0.0	0.0048000825182868	0.0089102522442294
GGB74818_SGB47415	0.0130722795290729	0.0244657737009642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
