genus	01_A	01_B	01_C	02_A	02_B	02_C	03_A	03_B	03_C	04_A	04_B	04_C	05_A	05_B	06_A	07_A	07_B	08_A	08_B	09_A	10_A	10_B
Christensenella	0.3511923029697231	1.1627151507772755	0.2769976173487746	0.0530469343200863	0.0213357980774199	0.0233742425493815	0.0	0.0	0.0	0.0111410584534838	0.0088882434537104	0.064235390636473	0.0092156061125176	0.0083760171468273	0.0245765250375819	0.1309431430623971	0.0776279561629198	0.0042492700367238	0.0143635552279508	0.2152741409241756	0.0824361997705776	0.1094202758914813
Dysosmobacter	0.3072448648362462	0.3364022929982536	0.1305775378070852	0.0182934327085336	0.0942679705904308	0.0994431935305382	0.5245211917771897	1.6964209718519754	0.867177443669971	0.5607780005006633	0.6431879570282004	0.1258595162342847	0.290749262471785	0.2701265529851811	0.8903365110137225	0.0622826374999135	0.2366845361251538	0.5486912427620032	0.8760727851714684	0.3991500323704111	0.2347449050682171	0.3252624301127538
GGB9102	0.2894335683240001	0.2332839600613014	0.1436482843776252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Evtepia	0.2796104194441365	0.4921987306664702	0.5845542763813567	0.6276135016851689	0.2954856279680212	0.3485768103586971	0.4516997428703582	0.5214833598440671	0.4020482926772427	0.6291109648495619	0.3438102974555896	1.069641603104882	0.0	0.0	0.4976789926435827	0.3841156341387417	0.6425305298902109	0.2966585383438385	0.4040704008751933	0.2240187161333892	0.3342443546951048	0.353233317281722
Emergencia	0.2639876565298034	0.3379864078422009	0.5132411839259183	0.0	0.0	0.0	0.0	0.0	0.0	0.019582289858424	0.0128519195884731	0.0727609115905129	0.0	0.0	0.0432138685454999	0.2135667177989027	0.2370836515810043	0.0166316429237371	0.1145875169785381	0.7329512803663857	0.1603144081411821	0.0839381436391568
Enterocloster	0.254526457437287	0.1277433562783133	0.1722757313064754	0.1660159172309387	0.2299770991536128	0.4102072798212969	1.5912695604423372	1.5096382580614625	1.5499620166705248	0.252408197769381	0.2578963303267711	0.4551901877327347	0.3261809129738178	0.2211780983507683	0.2620391310430051	0.1797263972693809	0.2479051229180414	1.6087651373635743	2.492354388672241	0.2511688663911826	0.0	0.1868180055858749
GGB9524	0.2477840904683318	0.23279782958009	0.3800131169931968	0.046774900248589	0.0165534950097014	0.0336815771943126	0.0036445768461551	0.021455855306565	0.0	0.0140288481446475	0.0225723634427722	0.0174314911190105	0.1935099547734547	0.2614147883155907	0.8262352125658063	0.1731035630809508	0.2746005044309501	0.0	0.0	0.0	0.0471242883751808	0.0781876757942156
Gordonibacter	0.2187018459268335	0.1958602945680484	0.1673731186100369	0.1740811097613383	0.0929144885901331	0.1132164207811752	0.0025844956000379	0.0018897554320697	0.0	0.044478796249108	0.0416443375717281	0.2324804075976377	0.0207773260280292	0.0506625340927298	0.0	0.0951868374770415	0.0477577926148367	0.0	0.0	0.1666351177967281	0.0209450557189244	0.0379513889677952
GGB3602	0.2158062476280562	0.0812676059625041	0.0599920415822137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3179813753881187	0.2062852862236449	0.0067233021931759	0.0	0.0
Lachnotalea	0.214922416751976	0.2898008192821312	0.3024201761191756	0.071750461564064	0.0330495695709054	0.0291479925536736	0.0	0.0	0.0	0.006142960911085	0.0038178265800203	0.0322776569182869	0.0160762116273331	0.0073511036562872	0.0072124862335274	0.0288360125298096	0.0639763934116701	0.0	0.0	0.0075540796616321	0.0158110544167568	0.0256435190899225
Eubacterium	0.1633571982103786	0.5762573961159292	1.7481279006758297	0.0741547412914713	0.0241165883689407	0.0290165843032203	0.6208046041311451	0.1568407869210687	0.4785591012983769	0.0	0.0	0.0008992435894727	0.4445441316938014	0.1090737675923874	0.0248468842555255	0.7266395196225335	0.4031156812148071	0.2942619500431263	0.5724431871583954	6.552273375984206	0.8472688262800011	0.7309379755697597
Flavonifractor	0.1577090980403799	0.2412464420811424	0.182236870177331	0.0	0.0158480437853038	0.0352913282623656	0.6805633990052425	1.83422158140087	2.0389145808023432	0.0892224489491807	0.127489669615962	0.0210630517688044	0.235802210790303	0.1816129034314721	0.0	0.0318630939422229	0.3272928154090292	0.3340606132070818	0.7085413424010145	0.2496529116291544	0.1462647753093966	0.1709851074130973
