feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.7254..TCA.cycle.VII..acetate.producers.	status	uninfected	-2.43403578924332	0.832368773737104	22	16	0.00345312098182629	0.0867552079983843
PWY.7761..NAD.salvage.pathway.II..PNC.IV.cycle.	status	uninfected	-0.254065351095765	0.0870278605736363	22	22	0.00350754833863703	0.0867552079983843
PWY0.461..L.lysine.degradation.I	spike_inhibition	yes	3.46434460900598	1.19428098051184	22	9	0.00372236878608985	0.0867552079983843
PWY.7858...5Z..dodecenoate.biosynthesis.II	status	uninfected	-3.17472366635811	1.09713808277531	22	16	0.00380803353949416	0.0873429915010963
PWY.7761..NAD.salvage.pathway.II..PNC.IV.cycle.	spike_inhibition	yes	0.141164895833067	0.0492708994259813	22	22	0.004169085184026	0.094130126420587
PWY.1861..formaldehyde.assimilation.II..assimilatory.RuMP.Cycle.	stay_years	stay_years	-0.195261999263524	0.0690130790947175	22	22	0.00466429885013633	0.0949283357527747
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.	stay_years	stay_years	0.258147617147465	0.0907145557826817	22	22	0.00443120722429538	0.0949283357527747
PWY.5392..reductive.TCA.cycle.II	spike_inhibition	yes	2.90109793662207	1.01887748578077	22	13	0.00440852547628181	0.0949283357527747
PWY.5920..superpathway.of.heme.b.biosynthesis.from.glycine	spike_inhibition	yes	2.01613172484701	0.705654457283838	22	14	0.00427518951787536	0.0949283357527747
PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.	spike_inhibition	yes	0.55666619787534	0.195870844864046	22	13	0.00448305893208174	0.0949283357527747
PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III	status	uninfected	-0.9772757419607	0.345187033587161	22	22	0.00463811859228696	0.0949283357527747
PWY.801..homocysteine.and.cysteine.interconversion	spike_inhibition	yes	2.40475414573909	0.849205081051017	22	16	0.0046291018211796	0.0949283357527747
PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.	spike_inhibition	yes	1.6795941066563	0.595131478911133	22	13	0.00476919121818034	0.0957150181982027
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.	age	age	-0.158094539625093	0.0561194167917719	22	22	0.0048458008448756	0.0959203043951403
PWY.7858...5Z..dodecenoate.biosynthesis.II	antibiotics	yes	3.35292386922828	1.1944462242152	22	16	0.00499905166479441	0.0976166169679449
HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I	status	uninfected	-1.71692582928614	0.614104333617993	22	19	0.00517680541583786	0.0988470578820086
PWY.7211..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis	stay_years	stay_years	0.412582192260461	0.147841056767973	22	22	0.00525918269788862	0.0988470578820086
PWY.821..superpathway.of.sulfur.amino.acid.biosynthesis..Saccharomyces.cerevisiae.	spike_inhibition	yes	0.620495206804538	0.22238246887159	22	19	0.00526728266914509	0.0988470578820086
P23.PWY..reductive.TCA.cycle.I	status	uninfected	-3.37822213300203	1.21751954492186	22	15	0.00552567444269352	0.102366661149899
PWY.6807..xyloglucan.degradation.II..exoglucanase.	spike_inhibition	yes	-5.85616493273401	2.1189298107928	22	8	0.00571435594172476	0.104522080199902
AST.PWY..L.arginine.degradation.II..AST.pathway.	spike_inhibition	yes	3.88571743249562	1.40986371727198	22	14	0.00584961198443484	0.104776783196454
GOLPDLCAT.PWY..superpathway.of.glycerol.degradation.to.1.3.propanediol	spike_inhibition	yes	0.166733230994014	0.0605252329183369	22	22	0.00587330064976664	0.104776783196454
