	X01_A	X01_B	X01_C	X02_A	X02_B	X02_C	X03_A	X03_B	X03_C	X04_A	X04_B	X04_C	X05_A	X05_B	X06_A	X07_A	X07_B	X08_A	X08_B	X09_A	X10_A	X10_B
PWY-5897: superpathway of menaquinol-11 biosynthesis	16.9166	7.07717	180.55	16.8494	28.0034	30.1388	148.452	5.09757	5.7445	30.3425	25.5838	14.2284	113.024	14.8779	5.74668	34.334	21.6203	3.90755	24.4169	23.2995	13.3912	14.1497
PWY-5898: superpathway of menaquinol-12 biosynthesis	16.9166	7.07717	180.55	16.8494	28.0034	30.1388	148.452	5.09757	5.7445	30.3425	25.5838	14.2284	113.024	14.8779	5.74668	34.334	21.6203	3.90755	24.4169	23.2995	13.3912	14.1497
PWY-5899: superpathway of menaquinol-13 biosynthesis	16.9166	7.07717	180.55	16.8494	28.0034	30.1388	148.452	5.09757	5.7445	30.3425	25.5838	14.2284	113.024	14.8779	5.74668	34.334	21.6203	3.90755	24.4169	23.2995	13.3912	14.1497
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	0	2.9778	0	0	0	8.10884	0	9.9855	4.34735	0	0	1.67805	0.726358	0.439988	1.10186	0	0	0	2.78769	6.78377	0	0.411697
PWY-5913: partial TCA cycle (obligate autotrophs)	63.5186	53.7902	275.978	47.5622	42.3681	36.707	200.398	42.8899	96.1373	47.4975	18.2323	7.9	161.903	53.66	14.3405	39.7145	16.626	58.6199	33.9286	53.5215	29.8454	33.8311
PWY-5918: superpathway of heme b biosynthesis from glutamate	4.31923	6.76836	173.561	34.2491	33.0337	16.3241	133.227	18.9732	7.2127	16.1406	0	7.53247	105.881	34.6848	3.47276	28.8092	16.3341	17.7297	9.78696	10.5128	1.95755	6.75994
PWY-5920: superpathway of heme b biosynthesis from glycine	0	0	130.046	0	19.9727	3.06283	99.0795	5.39697	0	5.87515	0	0	44.1404	0.936336	1.54549	15.1019	5.51755	1.25807	0	4.86536	0	0.283329
PWY-5941: glycogen degradation II	385.609	409.327	490.097	193.832	613.354	257.076	469.065	351.802	470.981	513.963	346.812	444.222	548.638	237.947	494.911	538.369	413.369	179.407	311.617	375.069	549.691	601.377
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)	0	0	252.968	0	29.5845	0	201.566	33.5833	0	81.0394	40.7962	0	189.738	11.4911	0	85.8719	32.6092	0	0	26.4816	101.113	109.29
PWY-5972: stearate biosynthesis I (animals)	0	0	1.94681	0	0	0	1.09852	0.495141	0	3.9776	0	0	1.74985	1.52555	0	6.92	1.00013	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis	256.256	163.659	224.881	166.102	54.8814	288.14	193.603	214.258	185.558	208.611	87.7426	213.339	193.14	199.415	283.758	120.565	166.531	187.754	265.644	82.902	318.017	296.935
PWY-5981: CDP-diacylglycerol biosynthesis III	3.02057	55.1475	35.6863	0.71382	8.06404	54.9739	47.7699	30.8936	27.4651	25.3594	12.504	50.457	30.7005	0.637671	88.8142	22.3177	43.1839	3.29143	62.1687	27.384	18.5981	8.51376
PWY-5989: stearate biosynthesis II (bacteria and plants)	111.331	91.0908	229.721	5.9932	42.7205	117.745	181.515	72.8345	72.0408	72.4842	31.178	35.396	176.5	7.76724	61.2834	76.1875	31.4821	5.80056	76.0105	27.6183	74.6726	80.7656
PWY-5994: palmitate biosynthesis (type I fatty acid synthase)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29101	1.09654	0	0	0.506854	0	21.2748
PWY-6113: superpathway of mycolate biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.26627	3.13174	0	0	0.848695	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	384.182	443.38	372.082	370.797	496.31	426.22	358.499	391.905	449.563	426.387	390.525	440.841	402.719	375.775	489.443	516.979	421.505	392.512	381.741	465.751	483.265	502.904
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	387.972	462.368	391.246	411.696	506.476	441.711	384.83	402.31	461.641	429.491	401.899	445.529	418.516	422.621	489.156	539.952	444.357	432.963	381.722	540.41	483.861	503.617
PWY-6123: inosine-5'-phosphate biosynthesis I	333.769	356.53	254.003	301.78	335.905	390.351	259.111	325.279	350.691	349.436	309.663	354.202	302.043	369.428	379.239	306.677	326.324	336.401	351.809	267.21	434.659	443.175
PWY-6124: inosine-5'-phosphate biosynthesis II	319.044	346.969	238.237	283.213	307.347	383.258	245.714	305.78	334.461	330.03	292.169	332.174	287.245	356.56	355.029	280.971	305.24	323.266	342.4	245.129	416.137	425.776
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	126.971	206.329	148.17	262.216	157.01	196.73	163.489	213.572	153.646	169.576	268.035	165.773	153.755	269.051	111.149	139.68	168.591	262.243	171.312	179.405	231.493	237.465
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	169.699	265.828	200.362	330.717	204.592	253.983	216.281	269.118	202.607	219.363	320.007	215.936	205.5	330.065	152.525	189.238	220.23	331.963	223.812	235.026	299.506	305.512
PWY-6143: CMP-pseudaminate biosynthesis	66.8006	20.6655	0.69241	0	3.26981	52.0032	0.575249	14.1594	19.7662	26.0248	10.9919	1.23874	0.265027	0	28.9371	13.585	1.13949	0	62.1897	0.658303	0.971456	0.895039
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	210.028	142.553	241.397	160.232	32.9827	214.173	201.935	103.97	139.594	103.766	34.5093	134.83	134.998	170.908	80.2438	59.0534	118.689	114.531	179.784	89.9604	215.236	211.07
PWY-6151: S-adenosyl-L-methionine salvage I	366.984	357.878	258.293	170.532	558.538	297.448	272.893	381.135	427.625	449.699	347.716	402.801	336.935	206.416	467.131	473.436	366.628	193.015	336.304	393.912	482.797	510.797
PWY-6160: 3-dehydroquinate biosynthesis II (archaea)	0	46.0562	4.34404	40.5274	0	27.0024	8.95054	21.3667	0	0	0	70.5271	4.28727	51.6255	0	0	95.2815	29.4351	13.1827	173.848	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	426.205	412.739	443.467	340.804	559.156	401.398	420.841	429.947	472.682	489.078	348.205	526.827	431.733	397.991	519.786	537.269	483.562	369.723	375.938	513.489	569.249	607.95
PWY-6165: chorismate biosynthesis II (archaea)	0	103.244	11.3955	89.9929	0	64.7343	23.0466	52.6162	0	0	0	153.65	11.2461	113.195	0	0	191.076	69.2953	33.1853	294.853	0	0
PWY-6167: flavin biosynthesis II (archaea)	0	34.5633	23.5446	0	0	16.5909	21.6476	27.7573	0	0	0	34.1398	13.8726	43.2422	0	0	17.5662	32.0722	26.024	15.4602	0	0
PWY-6168: flavin biosynthesis III (fungi)	21.9966	35.9736	231.502	0	136.047	14.98	215.365	41.5492	22.8965	90.1897	0	83.9728	175.823	59.4019	33.3223	69.855	16.8813	45.3754	59.2169	14.7246	125.068	114.176
